Labels,1e lifetime,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,49.987793,
Step,0.012207031,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

0.00,1.27000000E+2,
0.012207031,8.50000000E+1,
0.024414063,1.02000000E+2,
0.036621094,9.50000000E+1,
0.048828125,1.21000000E+2,
0.061035156,1.05000000E+2,
0.073242188,1.00000000E+2,
0.085449219,9.90000000E+1,
0.097656250,1.11000000E+2,
0.10986328,9.40000000E+1,
0.12207031,1.20000000E+2,
0.13427734,8.80000000E+1,
0.14648438,1.05000000E+2,
0.15869141,1.16000000E+2,
0.17089844,1.30000000E+2,
0.18310547,1.12000000E+2,
0.19531250,1.27000000E+2,
0.20751953,1.23000000E+2,
0.21972656,1.16000000E+2,
0.23193359,1.12000000E+2,
0.24414063,1.09000000E+2,
0.25634766,8.80000000E+1,
0.26855469,1.06000000E+2,
0.28076172,8.50000000E+1,
0.29296875,1.08000000E+2,
0.30517578,9.90000000E+1,
0.31738281,1.17000000E+2,
0.32958984,1.08000000E+2,
0.34179688,1.19000000E+2,
0.35400391,1.07000000E+2,
0.36621094,1.17000000E+2,
0.3784180,1.26000000E+2,
0.3906250,1.09000000E+2,
0.4028320,9.60000000E+1,
0.41503906,1.16000000E+2,
0.42724609,1.10000000E+2,
0.43945313,1.29000000E+2,
0.45166016,1.31000000E+2,
0.46386719,1.10000000E+2,
0.47607422,1.09000000E+2,
0.48828125,1.35000000E+2,
0.50048828,1.00000000E+2,
0.51269531,1.11000000E+2,
0.52490234,1.27000000E+2,
0.53710938,1.04000000E+2,
0.54931641,1.10000000E+2,
0.56152344,1.06000000E+2,
0.57373047,1.09000000E+2,
0.58593750,1.13000000E+2,
0.59814453,1.11000000E+2,
0.61035156,9.50000000E+1,
0.62255859,9.60000000E+1,
0.63476563,9.10000000E+1,
0.64697266,1.11000000E+2,
0.65917969,8.30000000E+1,
0.67138672,1.05000000E+2,
0.68359375,9.00000000E+1,
0.69580078,1.11000000E+2,
0.70800781,9.20000000E+1,
0.72021484,1.07000000E+2,
0.73242188,1.17000000E+2,
0.74462891,8.70000000E+1,
0.75683594,1.07000000E+2,
0.7690430,9.40000000E+1,
0.781250,9.40000000E+1,
0.7934570,9.50000000E+1,
0.80566406,1.00000000E+2,
0.81787109,1.08000000E+2,
0.83007813,1.02000000E+2,
0.84228516,9.80000000E+1,
0.85449219,1.03000000E+2,
0.86669922,9.60000000E+1,
0.87890625,1.00000000E+2,
0.89111328,1.09000000E+2,
0.90332031,9.90000000E+1,
0.91552734,1.07000000E+2,
0.92773438,1.07000000E+2,
0.93994141,9.60000000E+1,
0.95214844,9.80000000E+1,
0.96435547,1.28000000E+2,
0.97656250,1.05000000E+2,
0.98876953,8.00000000E+1,
1.0009766,1.08000000E+2,
1.0131836,9.10000000E+1,
1.0253906,9.40000000E+1,
1.0375977,1.09000000E+2,
1.0498047,9.40000000E+1,
1.0620117,1.01000000E+2,
1.0742188,9.60000000E+1,
1.0864258,1.05000000E+2,
1.0986328,1.06000000E+2,
1.110840,1.11000000E+2,
1.1230469,1.02000000E+2,
1.1352539,9.00000000E+1,
1.1474609,1.08000000E+2,
1.1596680,1.00000000E+2,
1.1718750,1.14000000E+2,
1.1840820,1.18000000E+2,
1.1962891,1.16000000E+2,
1.2084961,1.08000000E+2,
1.2207031,1.21000000E+2,
1.232910,9.70000000E+1,
1.2451172,1.16000000E+2,
1.2573242,1.12000000E+2,
1.2695313,1.12000000E+2,
1.2817383,1.17000000E+2,
1.2939453,1.34000000E+2,
1.3061523,1.07000000E+2,
1.3183594,1.09000000E+2,
1.3305664,1.17000000E+2,
1.3427734,1.45000000E+2,
1.354980,1.14000000E+2,
1.3671875,1.25000000E+2,
1.3793945,9.70000000E+1,
1.3916016,1.22000000E+2,
1.4038086,1.28000000E+2,
1.4160156,1.25000000E+2,
1.4282227,1.13000000E+2,
1.440430,1.11000000E+2,
1.4526367,1.04000000E+2,
1.4648438,9.80000000E+1,
1.4770508,1.10000000E+2,
1.4892578,9.40000000E+1,
1.5014648,1.07000000E+2,
1.5136719,1.13000000E+2,
1.5258789,1.18000000E+2,
1.5380859,1.07000000E+2,
1.5502930,1.24000000E+2,
1.56250,1.04000000E+2,
1.5747070,9.10000000E+1,
1.5869141,9.60000000E+1,
1.5991211,1.26000000E+2,
1.6113281,1.15000000E+2,
1.6235352,9.80000000E+1,
1.6357422,1.29000000E+2,
1.6479492,8.90000000E+1,
1.6601563,1.03000000E+2,
1.6723633,1.02000000E+2,
1.684570,1.10000000E+2,
1.6967773,1.10000000E+2,
1.7089844,9.60000000E+1,
1.7211914,1.20000000E+2,
1.7333984,1.05000000E+2,
1.7456055,1.24000000E+2,
1.7578125,1.07000000E+2,
1.770020,1.18000000E+2,
1.7822266,1.20000000E+2,
1.7944336,1.11000000E+2,
1.8066406,1.12000000E+2,
1.8188477,1.06000000E+2,
1.8310547,1.10000000E+2,
1.8432617,1.09000000E+2,
1.8554688,1.08000000E+2,
1.8676758,1.15000000E+2,
1.8798828,1.23000000E+2,
1.892090,1.25000000E+2,
1.9042969,1.14000000E+2,
1.9165039,1.14000000E+2,
1.9287109,1.02000000E+2,
1.9409180,1.16000000E+2,
1.9531250,1.09000000E+2,
1.9653320,1.04000000E+2,
1.9775391,1.09000000E+2,
1.9897461,1.06000000E+2,
2.0019531,1.25000000E+2,
2.014160,1.08000000E+2,
2.0263672,1.25000000E+2,
2.0385742,1.09000000E+2,
2.0507813,1.09000000E+2,
2.0629883,1.11000000E+2,
2.0751953,1.44000000E+2,
2.0874023,1.23000000E+2,
2.0996094,1.05000000E+2,
2.1118164,1.03000000E+2,
2.1240234,1.24000000E+2,
2.136230,1.06000000E+2,
2.1484375,1.18000000E+2,
2.1606445,1.26000000E+2,
2.1728516,1.27000000E+2,
2.1850586,1.03000000E+2,
2.1972656,1.09000000E+2,
2.2094727,1.05000000E+2,
2.221680,1.37000000E+2,
2.2338867,1.20000000E+2,
2.2460938,1.06000000E+2,
2.2583008,1.26000000E+2,
2.2705078,1.29000000E+2,
2.2827148,1.20000000E+2,
2.2949219,1.39000000E+2,
2.3071289,1.18000000E+2,
2.3193359,1.38000000E+2,
2.3315430,1.20000000E+2,
2.343750,1.05000000E+2,
2.3559570,1.33000000E+2,
2.3681641,1.36000000E+2,
2.3803711,1.41000000E+2,
2.3925781,1.19000000E+2,
2.4047852,1.44000000E+2,
2.4169922,1.23000000E+2,
2.4291992,1.37000000E+2,
2.4414063,1.45000000E+2,
2.4536133,1.49000000E+2,
2.465820,1.15000000E+2,
2.4780273,1.39000000E+2,
2.4902344,1.59000000E+2,
2.5024414,1.44000000E+2,
2.5146484,1.44000000E+2,
2.5268555,1.63000000E+2,
2.5390625,1.43000000E+2,
2.551270,1.69000000E+2,
2.5634766,1.41000000E+2,
2.5756836,1.66000000E+2,
2.5878906,1.94000000E+2,
2.6000977,1.87000000E+2,
2.6123047,1.48000000E+2,
2.6245117,1.80000000E+2,
2.6367188,2.06000000E+2,
2.6489258,1.78000000E+2,
2.6611328,2.11000000E+2,
2.673340,2.03000000E+2,
2.6855469,2.06000000E+2,
2.6977539,2.20000000E+2,
2.7099609,2.10000000E+2,
2.7221680,2.18000000E+2,
2.7343750,2.35000000E+2,
2.7465820,2.17000000E+2,
2.7587891,2.27000000E+2,
2.7709961,2.51000000E+2,
2.7832031,2.60000000E+2,
2.795410,2.83000000E+2,
2.8076172,2.89000000E+2,
2.8198242,2.88000000E+2,
2.8320313,2.80000000E+2,
2.8442383,3.14000000E+2,
2.8564453,3.28000000E+2,
2.8686523,2.86000000E+2,
2.8808594,3.06000000E+2,
2.8930664,3.09000000E+2,
2.9052734,3.29000000E+2,
2.917480,3.80000000E+2,
2.9296875,3.53000000E+2,
2.9418945,3.44000000E+2,
2.9541016,4.08000000E+2,
2.9663086,4.02000000E+2,
2.9785156,4.32000000E+2,
2.9907227,4.15000000E+2,
3.002930,4.48000000E+2,
3.0151367,4.49000000E+2,
3.0273438,4.96000000E+2,
3.0395508,4.76000000E+2,
3.0517578,4.90000000E+2,
3.0639648,5.08000000E+2,
3.0761719,5.18000000E+2,
3.0883789,5.49000000E+2,
3.1005859,5.75000000E+2,
3.1127930,6.31000000E+2,
3.1250,5.43000000E+2,
3.1372070,6.41000000E+2,
3.1494141,6.41000000E+2,
3.1616211,7.00000000E+2,
3.1738281,7.33000000E+2,
3.1860352,7.09000000E+2,
3.1982422,7.72000000E+2,
3.2104492,6.97000000E+2,
3.2226563,7.60000000E+2,
3.2348633,8.36000000E+2,
3.247070,8.22000000E+2,
3.2592773,8.67000000E+2,
3.2714844,8.51000000E+2,
3.2836914,9.34000000E+2,
3.2958984,9.51000000E+2,
3.3081055,9.89000000E+2,
3.3203125,1.00100000E+3,
3.332520,1.04500000E+3,
3.3447266,1.02100000E+3,
3.3569336,1.10200000E+3,
3.3691406,1.12100000E+3,
3.3813477,1.14400000E+3,
3.3935547,1.12100000E+3,
3.4057617,1.27300000E+3,
3.4179688,1.20600000E+3,
3.4301758,1.23000000E+3,
3.4423828,1.27300000E+3,
3.454590,1.30300000E+3,
3.4667969,1.35300000E+3,
3.4790039,1.36600000E+3,
3.4912109,1.43600000E+3,
3.5034180,1.44400000E+3,
3.5156250,1.50900000E+3,
3.5278320,1.44200000E+3,
