nm, A
700.000000, -0.000923
699.000000, -0.000840
698.000000, -0.000783
697.000000, -0.000862
696.000000, -0.000670
695.000000, -0.000762
694.000000, -0.000696
693.000000, -0.000719
692.000000, -0.000640
691.000000, -0.000583
690.000000, -0.000566
689.000000, -0.000588
688.000000, -0.000470
687.000000, -0.000566
686.000000, -0.000422
685.000000, -0.000439
684.000000, -0.000417
683.000000, -0.000395
682.000000, -0.000387
681.000000, -0.000523
680.000000, -0.000435
679.000000, -0.000440
678.000000, -0.000339
677.000000, -0.000370
676.000000, -0.000440
675.000000, -0.000400
674.000000, -0.000401
673.000000, -0.000445
672.000000, -0.000374
671.000000, -0.000352
670.000000, -0.000375
669.000000, -0.000273
668.000000, -0.000361
667.000000, -0.000348
666.000000, -0.000309
665.000000, -0.000357
664.000000, -0.000229
663.000000, -0.000234
662.000000, -0.000229
661.000000, -0.000159
660.000000, -0.000208
659.000000, -0.000212
658.000000, -0.000247
657.000000, -0.000323
656.000000, -0.000230
655.000000, -0.000057
654.000000, 0.000022
653.000000, -0.000111
652.000000, 0.000115
651.000000, 0.000004
650.000000, 0.000044
649.000000, 0.000004
648.000000, -0.000022
647.000000, 0.000150
646.000000, 0.000049
645.000000, 0.000071
644.000000, 0.000093
643.000000, 0.000084
642.000000, 0.000168
641.000000, 0.000159
640.000000, 0.000182
639.000000, 0.000066
638.000000, 0.000049
637.000000, 0.000115
636.000000, 0.000168
635.000000, 0.000133
634.000000, 0.000137
633.000000, 0.000075
632.000000, 0.000244
631.000000, 0.000235
630.000000, 0.000071
629.000000, 0.000089
628.000000, 0.000164
627.000000, 0.000191
626.000000, 0.000128
625.000000, 0.000177
624.000000, 0.000084
623.000000, 0.000253
622.000000, 0.000213
621.000000, 0.000182
620.000000, 0.000142
619.000000, 0.000253
618.000000, 0.000190
617.000000, 0.000146
616.000000, 0.000159
615.000000, 0.000252
614.000000, 0.000301
613.000000, 0.000182
612.000000, 0.000204
611.000000, 0.000257
610.000000, 0.000288
609.000000, 0.000257
608.000000, 0.000345
607.000000, 0.000159
606.000000, 0.000181
605.000000, 0.000292
604.000000, 0.000234
603.000000, 0.000252
602.000000, 0.000367
601.000000, 0.000292
