nm, A
700.000000, 0.000675
699.000000, 0.000626
698.000000, 0.000719
697.000000, 0.000622
696.000000, 0.000772
695.000000, 0.000618
694.000000, 0.000684
693.000000, 0.000676
692.000000, 0.000777
691.000000, 0.000755
690.000000, 0.000760
689.000000, 0.000646
688.000000, 0.000743
687.000000, 0.000703
686.000000, 0.000796
685.000000, 0.000770
684.000000, 0.000884
683.000000, 0.000832
682.000000, 0.000893
681.000000, 0.000757
680.000000, 0.000898
679.000000, 0.000793
678.000000, 0.000965
677.000000, 0.000863
676.000000, 0.000837
675.000000, 0.000908
674.000000, 0.000824
673.000000, 0.000860
672.000000, 0.000909
671.000000, 0.000913
670.000000, 0.000843
669.000000, 0.000940
668.000000, 0.000905
667.000000, 0.000883
666.000000, 0.000985
665.000000, 0.000905
664.000000, 0.000963
663.000000, 0.000985
662.000000, 0.001056
661.000000, 0.000990
660.000000, 0.001039
659.000000, 0.000968
658.000000, 0.001017
657.000000, 0.000925
656.000000, 0.001048
655.000000, 0.001018
654.000000, 0.001221
653.000000, 0.000952
652.000000, 0.001253
651.000000, 0.001116
650.000000, 0.001134
649.000000, 0.001152
648.000000, 0.001099
647.000000, 0.001227
646.000000, 0.001179
645.000000, 0.001285
644.000000, 0.001197
643.000000, 0.001285
642.000000, 0.001308
641.000000, 0.001339
640.000000, 0.001379
639.000000, 0.001330
638.000000, 0.001357
637.000000, 0.001428
636.000000, 0.001397
635.000000, 0.001464
634.000000, 0.001482
633.000000, 0.001446
632.000000, 0.001580
631.000000, 0.001535
630.000000, 0.001455
629.000000, 0.001535
628.000000, 0.001664
627.000000, 0.001544
626.000000, 0.001647
625.000000, 0.001553
624.000000, 0.001629
623.000000, 0.001664
622.000000, 0.001691
621.000000, 0.001713
620.000000, 0.001704
619.000000, 0.001793
618.000000, 0.001700
617.000000, 0.001917
616.000000, 0.001824
615.000000, 0.001882
614.000000, 0.001877
613.000000, 0.001975
612.000000, 0.001930
611.000000, 0.002014
610.000000, 0.002041
609.000000, 0.002072
608.000000, 0.002054
607.000000, 0.002058
606.000000, 0.002000
605.000000, 0.002133
604.000000, 0.002164
603.000000, 0.002221
602.000000, 0.002292
601.000000, 0.002190
600.000000, 0.002359
599.000000, 0.002274
598.000000, 0.002376
597.000000, 0.002377
596.000000, 0.002404
595.000000, 0.002426
594.000000, 0.002480
593.000000, 0.002512
592.000000, 0.002429
591.000000, 0.002590
590.000000, 0.002591
589.000000, 0.002695
588.000000, 0.002617
587.000000, 0.002691
586.000000, 0.002627
585.000000, 0.002781
584.000000, 0.002798
583.000000, 0.002703
582.000000, 0.002791
581.000000, 0.002880
580.000000, 0.002852
579.000000, 0.002941
578.000000, 0.002921
577.000000, 0.003010
576.000000, 0.003094
575.000000, 0.003142
574.000000, 0.003249
573.000000, 0.003356
572.000000, 0.003381
571.000000, 0.003324
570.000000, 0.003425
569.000000, 0.003550
568.000000, 0.003597
567.000000, 0.003639
566.000000, 0.003718
565.000000, 0.003728
564.000000, 0.003884
563.000000, 0.003976
562.000000, 0.004067
561.000000, 0.004110
560.000000, 0.004229
559.000000, 0.004335
558.000000, 0.004588
557.000000, 0.004619
556.000000, 0.004729
555.000000, 0.004884
554.000000, 0.005094
553.000000, 0.005167
552.000000, 0.005322
551.000000, 0.005599
550.000000, 0.005746
549.000000, 0.005983
548.000000, 0.006178
547.000000, 0.006470
546.000000, 0.006762
545.000000, 0.007145
544.000000, 0.007428
543.000000, 0.007926
542.000000, 0.008516
541.000000, 0.008931
540.000000, 0.009470
539.000000, 0.010261
538.000000, 0.011088
537.000000, 0.012086
536.000000, 0.013176
535.000000, 0.014526
534.000000, 0.015993
533.000000, 0.017833
532.000000, 0.020069
531.000000, 0.022646
530.000000, 0.025775
529.000000, 0.029445
528.000000, 0.033815
527.000000, 0.039093
526.000000, 0.045382
525.000000, 0.053144
524.000000, 0.062170
523.000000, 0.072969
522.000000, 0.086041
521.000000, 0.101611
