nm, A
700.000000, 0.000661
699.000000, 0.000626
698.000000, 0.000692
697.000000, 0.000631
696.000000, 0.000680
695.000000, 0.000649
694.000000, 0.000706
693.000000, 0.000628
692.000000, 0.000746
691.000000, 0.000711
690.000000, 0.000755
689.000000, 0.000738
688.000000, 0.000844
687.000000, 0.000690
686.000000, 0.000796
685.000000, 0.000721
684.000000, 0.000765
683.000000, 0.000801
682.000000, 0.000862
681.000000, 0.000739
680.000000, 0.000779
679.000000, 0.000832
678.000000, 0.000832
677.000000, 0.000780
676.000000, 0.000894
675.000000, 0.000811
674.000000, 0.000824
673.000000, 0.000838
672.000000, 0.000781
671.000000, 0.000856
670.000000, 0.000852
669.000000, 0.000852
668.000000, 0.000786
667.000000, 0.000843
666.000000, 0.000896
665.000000, 0.000830
664.000000, 0.000839
663.000000, 0.000954
662.000000, 0.000968
661.000000, 0.001012
660.000000, 0.000942
659.000000, 0.000853
658.000000, 0.001017
657.000000, 0.000836
656.000000, 0.001000
655.000000, 0.001000
654.000000, 0.001128
653.000000, 0.000943
652.000000, 0.001208
651.000000, 0.001076
650.000000, 0.001063
649.000000, 0.001058
648.000000, 0.001023
647.000000, 0.001218
646.000000, 0.001205
645.000000, 0.001223
644.000000, 0.001148
643.000000, 0.001276
642.000000, 0.001210
641.000000, 0.001277
640.000000, 0.001321
639.000000, 0.001175
638.000000, 0.001273
637.000000, 0.001273
636.000000, 0.001326
635.000000, 0.001304
634.000000, 0.001375
633.000000, 0.001322
632.000000, 0.001535
631.000000, 0.001424
630.000000, 0.001380
629.000000, 0.001491
628.000000, 0.001486
627.000000, 0.001509
626.000000, 0.001518
625.000000, 0.001584
624.000000, 0.001620
623.000000, 0.001611
622.000000, 0.001567
621.000000, 0.001531
620.000000, 0.001629
619.000000, 0.001748
618.000000, 0.001642
617.000000, 0.001699
616.000000, 0.001717
615.000000, 0.001744
614.000000, 0.001788
613.000000, 0.001735
612.000000, 0.001761
611.000000, 0.001859
610.000000, 0.001956
609.000000, 0.001876
608.000000, 0.001929
607.000000, 0.001898
606.000000, 0.001938
605.000000, 0.002124
604.000000, 0.002066
603.000000, 0.002110
602.000000, 0.002097
601.000000, 0.002155
600.000000, 0.002150
599.000000, 0.002226
598.000000, 0.002336
597.000000, 0.002310
596.000000, 0.002221
595.000000, 0.002297
594.000000, 0.002324
593.000000, 0.002432
592.000000, 0.002304
591.000000, 0.002452
590.000000, 0.002444
589.000000, 0.002495
588.000000, 0.002492
587.000000, 0.002504
586.000000, 0.002524
